"","educd","mean","lower","upper"
"1","Didn't graduate college",0.536052878961288,0.473715193855786,0.597456458909164
"2","Didn't graduate high school",0.483239062627887,0.416441644217801,0.554716663879093
"3","Graduated college",0.532325291024229,0.469978202307571,0.592695542205825
"4","Graduated high school",0.46493524819343,0.403815045071722,0.528526371085765
