"","age","mean","lower","upper"
"1","18 to 29",0.639854865253186,0.576939396975498,0.701328708894867
"2","30 to 44",0.501004903841101,0.435341591788836,0.564547711628396
"3","45 to 55",0.46062102212547,0.396144963376034,0.526291628829868
"4","60 plus",0.478671706867748,0.408995268553905,0.549933319220999
