"","race","mean","lower","upper"
"1","american indian or alaska native",0.456236011673152,0.346769455252918,0.571522373540856
"2","black/african american",0.859081992325434,0.817480966668708,0.899484722307268
"3","chinese",0.734716888810467,0.600027824529019,0.874456403713557
"4","japanese",0.720456362536952,0.525389680193496,0.876380677237302
"5","other asian or pacific islander",0.623524101588633,0.524534443678918,0.724994258554754
"6","other race, nec",0.632339188020887,0.556810353771138,0.713457654666805
"7","white",0.447500367589789,0.406153016208401,0.489784923151891
